date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:22	102899/102899	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2009:20:25%20GMT	https://www.eau.ac.ae/en	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/en.html	(from )
14:49:23	462/462	---M--	200	added ('OK')	text/plain	etag:%220cb58653cdd61:0%22	https://www.eau.ac.ae/robots.txt		(from )
14:49:24	38811/38811	---M-Z	200	added ('OK')	image/svg+xml	etag:%220635b9d53cdd61:0%22	https://www.eau.ac.ae/Assets/images/logo.svg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/Assets/images/logo.svg	(from https://www.eau.ac.ae/en)
14:49:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2013%20Nov%202022%2009:20:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.googletagmanager.com/gtm.25445.delayed	(from https://www.eau.ac.ae/en)
14:49:24	17762/17762	---M-Z	200	added ('OK')	text/css	etag:%220cbe4a653cdd61:0%22	https://www.eau.ac.ae/Assets/vendor/Swiper-3.4.1/dist/css/swiper.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/Assets/vendor/Swiper-3.4.1/dist/css/swiper.min.css	(from https://www.eau.ac.ae/en)
14:49:25	27961/27961	---M-Z	200	added ('OK')	text/css	etag:%2202547a953cdd61:0%22	https://www.eau.ac.ae/Assets/vendor/intlTelInput/intlTelInput.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/Assets/vendor/intlTelInput/intlTelInput.css	(from https://www.eau.ac.ae/en)
14:49:25	334914/334914	---M-Z	200	added ('OK')	text/css	etag:%220dcc79953cdd61:0%22	https://www.eau.ac.ae/Assets/css/style.css?v=2.8	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/Assets/css/stylee2eb.css	(from https://www.eau.ac.ae/en)
14:49:26	4733/4733	---M-Z	200	added ('OK')	text/css	etag:%22059c8fa8066d71:0%22	https://www.eau.ac.ae/Assets/css/override.css?v=2.8	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/Assets/css/overridee2eb.css	(from https://www.eau.ac.ae/en)
14:49:26	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.eau.ac.ae/en)
14:49:27	47689/47689	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ba49-Pz2ukHlfKRQtDcmgWDIN6fVItu4%22	https://cdn.jsdelivr.net/jquery.validation/1.16.0/jquery.validate.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/cdn.jsdelivr.net/jquery.validation/1.16.0/jquery.validate.js	(from https://www.eau.ac.ae/en)
14:49:27	40904/40904	---M-Z	200	added ('OK')	application/javascript	etag:W/%229fc8-jdw4NYZq+19660yw0WQ1GFeoxOM%22	https://cdn.jsdelivr.net/jquery.validation/1.16.0/additional-methods.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/cdn.jsdelivr.net/jquery.validation/1.16.0/additional-methods.js	(from https://www.eau.ac.ae/en)
14:49:28	5268/5268	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-1494%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-validation-unobtrusive/3.2.6/jquery.validate.unobtrusive.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/cdnjs.cloudflare.com/ajax/libs/jquery-validation-unobtrusive/3.2.6/jquery.validate.unobtrusive.min.js	(from https://www.eau.ac.ae/en)
14:49:28	546/546	---M--	200	added ('OK')	image/png	etag:%220908c9e53cdd61:0%22	https://www.eau.ac.ae/Assets/images/favicons/apple-touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/Assets/images/favicons/apple-touch-icon.png	(from https://www.eau.ac.ae/en)
14:49:29	343/343	---M--	200	added ('OK')	image/png	etag:%220908c9e53cdd61:0%22	https://www.eau.ac.ae/Assets/images/favicons/favicon-32x32.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web97/Site97/www.eau.ac.ae/Assets/images/favicons/favicon-32x32.png	(from https://www.eau.ac.ae/en)
